fire1_id,fire1_date,fire1_latitude,fire1_longitude,fire2_id,fire2_date,fire2_latitude,fire2_longitude,distance_km,duration_min
9040829,2018-08-02 19:15:00,46.73,-119.34,9083723,2018-08-07 06:07:30,40.01,-121.26,1073.4613,836.6533333333333
9040829,2018-08-02 19:15:00,46.73,-119.34,9087651,2018-08-08 12:30:00,35.91,-105.81,2052.5221,1474.6483333333333
9040829,2018-08-02 19:15:00,46.73,-119.34,9093430,2018-07-30 23:52:30,38.45,-108.66,1669.6983,1261.4083333333333
9040829,2018-08-02 19:15:00,46.73,-119.34,9095328,2018-07-30 07:15:00,48.8,-116.69,443.2857,410.245
9040829,2018-08-02 19:15:00,46.73,-119.34,9095808,2018-08-05 06:00:00,47.57,-123.13,440.9759,391.2083333333333
9040829,2018-08-02 19:15:00,46.73,-119.34,9118036,2018-07-29 14:30:00,47.85,-120.54,242.34429999999998,315.3816666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9120308,2018-07-29 09:07:30,39.4,-107.88,1612.1803,1105.25
9040829,2018-08-02 19:15:00,46.73,-119.34,9122508,2018-07-30 05:45:00,48.27,-116.17,372.09540000000004,320.9183333333333
9040829,2018-08-02 19:15:00,46.73,-119.34,9131086,2018-07-29 18:00:00,39.91,-107.63,1651.586,1139.6083333333333
9040829,2018-08-02 19:15:00,46.73,-119.34,9153287,2018-07-30 06:30:00,44.82,-115.28,615.5154,676.4216666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9155267,2018-07-30 05:07:30,42.83,-111.19,1089.0133999999998,842.64
9040829,2018-08-02 19:15:00,46.73,-119.34,9158416,2018-08-01 03:00:00,48.59,-115.16,593.651,598.9566666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9159692,2018-08-07 07:00:00,42.93,-122.66,721.6548,753.5066666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9170696,2018-08-11 17:30:00,34.9,-108.24,2008.8237,1472.4616666666666
9040829,2018-08-02 19:15:00,46.73,-119.34,9185154,2018-07-26 20:00:00,42.18,-113.51,849.4256,630.0733333333334
9040829,2018-08-02 19:15:00,46.73,-119.34,9186440,2018-07-27 17:15:00,43.79,-107.94,1355.5883000000001,947.9616666666666
9040829,2018-08-02 19:15:00,46.73,-119.34,9188070,2018-07-27 12:07:30,25.23,-80.87,5179.8568,3455.641666666667
9040829,2018-08-02 19:15:00,46.73,-119.34,9216987,2018-08-04 19:30:00,48.99,-116.09,429.475,409.38666666666666
9040829,2018-08-02 19:15:00,46.73,-119.34,9218536,2018-07-28 04:30:00,34.86,-108.14,2005.3247,1442.78
9040829,2018-08-02 19:15:00,46.73,-119.34,9218699,2018-07-28 04:00:00,34.85,-108.13,2008.3979,1461.215
